date_level,population,stock number,total portion
"20170106_600,001-800,000",10,"6,849,000",4.19
"20170106_800,001-1,000,000",2,"2,000,000",1.22
"20170106_1,000,001以上",17,"96,325,000",59.02
20161230_1-999,5,292,0.00
"20161230_1,000-5,000","1,257","3,046,300",1.81
"20161230_5,001-10,000",382,"3,289,398",1.95
"20161230_10,001-15,000",132,"1,808,000",1.07
"20161230_15,001-20,000",138,"2,652,010",1.57
"20161230_20,001-30,000",126,"3,372,000",2.00
"20161230_30,001-40,000",58,"2,153,000",1.28
"20161230_40,001-50,000",65,"3,149,000",1.87
"20161230_50,001-100,000",101,"7,771,000",4.62
"20161230_100,001-200,000",52,"7,747,000",4.60
"20161230_200,001-400,000",30,"8,192,000",4.87
"20161230_400,001-600,000",12,"6,258,000",3.72
"20161230_600,001-800,000",6,"4,095,000",2.43
"20161230_800,001-1,000,000",2,"2,000,000",1.18
"20161230_1,000,001以上",17,"112,654,000",66.98
20161223_1-999,6,292,0.00
"20161223_1,000-5,000","1,590","3,963,698",2.13
"20161223_5,001-10,000",478,"4,130,000",2.22
"20161223_10,001-15,000",161,"2,187,000",1.17
"20161223_15,001-20,000",167,"3,189,010",1.71
"20161223_20,001-30,000",157,"4,220,000",2.27
"20161223_30,001-40,000",75,"2,779,000",1.49
"20161223_40,001-50,000",74,"3,577,000",1.92
"20161223_50,001-100,000",134,"10,091,000",5.43
"20161223_100,001-200,000",60,"9,168,000",4.93
"20161223_200,001-400,000",34,"9,599,000",5.16
"20161223_400,001-600,000",11,"5,624,000",3.02
"20161223_600,001-800,000",6,"4,137,000",2.22
"20161223_800,001-1,000,000",2,"2,000,000",1.07
"20161223_1,000,001以上",15,"121,022,000",65.17
20161216_1-999,5,237,0.00
"20161216_1,000-5,000","1,662","4,174,100",2.22
"20161216_5,001-10,000",515,"4,414,000",2.35
"20161216_10,001-15,000",170,"2,313,663",1.23
"20161216_15,001-20,000",178,"3,404,000",1.81
"20161216_20,001-30,000",153,"4,097,000",2.18
"20161216_30,001-40,000",81,"2,985,000",1.59
"20161216_40,001-50,000",78,"3,791,000",2.01
"20161216_50,001-100,000",119,"8,788,000",4.68
"20161216_100,001-200,000",68,"10,463,000",5.57
"20161216_200,001-400,000",36,"9,975,000",5.31
"20161216_400,001-600,000",10,"5,207,000",2.77
"20161216_600,001-800,000",7,"4,753,000",2.53
"20161216_800,001-1,000,000",3,"2,915,000",1.55
"20161216_1,000,001以上",16,"120,407,000",64.15
20161209_1-999,4,392,0.00
"20161209_1,000-5,000","1,288","3,285,000",1.73
