date_level,population,stock number,total portion
"20170106_20,001-30,000",279,"7,451,000",5.28
"20170106_30,001-40,000",141,"5,303,000",3.76
"20170106_40,001-50,000",128,"6,146,000",4.35
"20170106_50,001-100,000",157,"11,661,000",8.26
"20170106_100,001-200,000",88,"13,336,000",9.45
"20170106_200,001-400,000",33,"9,165,000",6.49
"20170106_400,001-600,000",2,"1,019,000",0.72
"20170106_600,001-800,000",4,"2,950,000",2.09
"20170106_800,001-1,000,000",4,"3,804,000",2.69
"20170106_1,000,001以上",16,"41,139,000",29.17
20170106_差異數調整（說明4）, ,"-1,000",-0.00
20161230_1-999,50,"8,933",0.00
"20161230_1,000-5,000","5,315","12,929,907",9.75
"20161230_5,001-10,000","1,357","11,505,260",8.68
"20161230_10,001-15,000",421,"5,592,900",4.22
"20161230_15,001-20,000",425,"8,128,000",6.13
"20161230_20,001-30,000",267,"7,133,000",5.38
"20161230_30,001-40,000",139,"5,237,000",3.95
"20161230_40,001-50,000",114,"5,463,000",4.12
"20161230_50,001-100,000",170,"12,670,000",9.56
"20161230_100,001-200,000",89,"13,553,000",10.22
"20161230_200,001-400,000",25,"7,043,000",5.31
"20161230_400,001-600,000",3,"1,413,000",1.06
"20161230_600,001-800,000",5,"3,657,000",2.75
"20161230_800,001-1,000,000",4,"3,858,000",2.91
"20161230_1,000,001以上",14,"34,322,000",25.90
20161223_1-999,49,"8,870",0.00
"20161223_1,000-5,000","5,043","12,233,470",9.70
"20161223_5,001-10,000","1,319","11,153,760",8.85
"20161223_10,001-15,000",409,"5,414,900",4.29
"20161223_15,001-20,000",404,"7,729,000",6.13
"20161223_20,001-30,000",264,"7,089,000",5.62
"20161223_30,001-40,000",136,"5,084,000",4.03
"20161223_40,001-50,000",104,"4,986,000",3.95
"20161223_50,001-100,000",160,"11,854,000",9.40
"20161223_100,001-200,000",87,"13,196,000",10.47
"20161223_200,001-400,000",24,"6,905,000",5.47
"20161223_400,001-600,000",4,"2,002,000",1.58
"20161223_600,001-800,000",5,"3,626,000",2.87
"20161223_800,001-1,000,000",4,"3,848,000",3.05
"20161223_1,000,001以上",14,"30,884,000",24.50
20161216_1-999,50,"9,599",0.00
"20161216_1,000-5,000","4,961","12,021,070",9.93
"20161216_5,001-10,000","1,283","10,867,431",8.98
"20161216_10,001-15,000",392,"5,205,900",4.30
"20161216_15,001-20,000",363,"6,939,000",5.73
"20161216_20,001-30,000",261,"6,990,000",5.77
"20161216_30,001-40,000",130,"4,864,000",4.01
"20161216_40,001-50,000",111,"5,343,000",4.41
"20161216_50,001-100,000",147,"10,943,000",9.04
"20161216_100,001-200,000",85,"12,728,000",10.51
"20161216_200,001-400,000",24,"6,863,000",5.67
"20161216_400,001-600,000",4,"1,915,000",1.58
"20161216_600,001-800,000",7,"5,000,000",4.13
"20161216_800,001-1,000,000",5,"4,693,000",3.87
"20161216_1,000,001以上",12,"26,641,000",22.01
20161216_差異數調整（說明4）, ,"-9,000",-0.00
20161209_1-999,51,"9,999",0.00
"20161209_1,000-5,000","4,681","11,248,170",10.41
"20161209_5,001-10,000","1,168","9,922,931",9.18
"20161209_10,001-15,000",351,"4,662,900",4.31
"20161209_15,001-20,000",308,"5,902,000",5.46
"20161209_20,001-30,000",237,"6,348,000",5.87
"20161209_30,001-40,000",111,"4,172,000",3.86
"20161209_40,001-50,000",92,"4,420,000",4.09
"20161209_50,001-100,000",131,"9,573,000",8.86
"20161209_100,001-200,000",79,"11,554,000",10.69
"20161209_200,001-400,000",20,"5,967,000",5.52
"20161209_400,001-600,000",5,"2,707,000",2.50
"20161209_600,001-800,000",7,"5,082,000",4.70
"20161209_800,001-1,000,000",7,"6,527,000",6.04
"20161209_1,000,001以上",9,"19,918,000",18.44
20161202_1-999,49,"9,165",0.01
"20161202_1,000-5,000","4,292","10,268,004",11.80
"20161202_5,001-10,000","1,050","8,825,931",10.14
"20161202_10,001-15,000",304,"4,049,900",4.65
"20161202_15,001-20,000",273,"5,231,000",6.01
"20161202_20,001-30,000",221,"5,902,000",6.78
"20161202_30,001-40,000",106,"4,013,000",4.61
"20161202_40,001-50,000",71,"3,386,000",3.89
"20161202_50,001-100,000",121,"8,805,000",10.11
"20161202_100,001-200,000",68,"9,903,000",11.38
"20161202_200,001-400,000",25,"7,257,000",8.34
"20161202_400,001-600,000",5,"2,672,000",3.07
"20161202_600,001-800,000",6,"4,154,000",4.77
"20161202_800,001-1,000,000",4,"3,858,000",4.43
"20161202_1,000,001以上",6,"8,680,000",9.97
20161125_1-999,48,"8,465",0.01
"20161125_1,000-5,000","4,010","9,586,704",11.47
"20161125_5,001-10,000",898,"7,532,931",9.01
"20161125_10,001-15,000",271,"3,614,900",4.32
"20161125_15,001-20,000",247,"4,731,000",5.66
"20161125_20,001-30,000",199,"5,301,000",6.34
"20161125_30,001-40,000",89,"3,338,000",3.99
"20161125_40,001-50,000",75,"3,597,000",4.30
"20161125_50,001-100,000",112,"8,324,000",9.96
"20161125_100,001-200,000",60,"8,586,000",10.28
"20161125_200,001-400,000",23,"6,546,000",7.83
"20161125_400,001-600,000",4,"2,021,000",2.41
"20161125_600,001-800,000",5,"3,498,000",4.18
"20161125_800,001-1,000,000",6,"5,606,000",6.71
"20161125_1,000,001以上",6,"11,223,000",13.43
20161118_1-999,47,"8,007",0.01
"20161118_1,000-5,000","3,670","8,729,562",11.04
"20161118_5,001-10,000",818,"6,912,431",8.74
"20161118_10,001-15,000",228,"3,106,000",3.93
"20161118_15,001-20,000",197,"3,775,000",4.77
"20161118_20,001-30,000",180,"4,820,000",6.10
"20161118_30,001-40,000",73,"2,754,000",3.48
"20161118_40,001-50,000",59,"2,799,000",3.54
"20161118_50,001-100,000",104,"7,518,000",9.51
"20161118_100,001-200,000",44,"6,488,000",8.21
"20161118_200,001-400,000",23,"6,362,000",8.05
"20161118_400,001-600,000",2,"950,000",1.20
"20161118_600,001-800,000",5,"3,747,000",4.74
"20161118_800,001-1,000,000",3,"2,918,000",3.69
"20161118_1,000,001以上",8,"18,127,000",22.94
20161111_1-999,47,"8,457",0.01
"20161111_1,000-5,000","3,282","7,694,972",10.19
"20161111_5,001-10,000",707,"5,978,571",7.91
"20161111_10,001-15,000",191,"2,562,000",3.39
"20161111_15,001-20,000",162,"3,112,000",4.12
"20161111_20,001-30,000",153,"4,098,000",5.42
"20161111_30,001-40,000",58,"2,201,000",2.91
"20161111_40,001-50,000",65,"3,083,000",4.08
"20161111_50,001-100,000",84,"6,180,000",8.18
"20161111_100,001-200,000",47,"6,960,000",9.21
"20161111_200,001-400,000",14,"3,822,000",5.06
"20161111_400,001-600,000",3,"1,398,000",1.85
"20161111_600,001-800,000",4,"2,913,000",3.85
"20161111_800,001-1,000,000",2,"1,988,000",2.63
"20161111_1,000,001以上",10,"23,515,000",31.13
20161104_1-999,47,"8,607",0.01
"20161104_1,000-5,000","2,799","6,479,822",12.57
"20161104_5,001-10,000",587,"4,976,571",9.66
"20161104_10,001-15,000",164,"2,206,000",4.28
"20161104_15,001-20,000",134,"2,572,000",4.99
"20161104_20,001-30,000",119,"3,138,000",6.09
"20161104_30,001-40,000",56,"2,105,000",4.08
"20161104_40,001-50,000",58,"2,748,000",5.33
"20161104_50,001-100,000",76,"5,496,000",10.66
"20161104_100,001-200,000",41,"6,039,000",11.72
"20161104_200,001-400,000",10,"2,597,000",5.04
"20161104_400,001-600,000",7,"3,288,000",6.38
"20161104_600,001-800,000",3,"2,249,000",4.36
"20161104_800,001-1,000,000",2,"1,888,000",3.66
"20161104_1,000,001以上",4,"5,723,000",11.10
20161028_1-999,44,"7,757",0.01
"20161028_1,000-5,000","2,626","6,157,672",11.83
"20161028_5,001-10,000",585,"4,934,571",9.48
"20161028_10,001-15,000",167,"2,246,000",4.31
"20161028_15,001-20,000",128,"2,451,000",4.71
"20161028_20,001-30,000",126,"3,309,000",6.36
"20161028_30,001-40,000",56,"2,109,000",4.05
"20161028_40,001-50,000",51,"2,417,000",4.64
"20161028_50,001-100,000",75,"5,545,000",10.66
"20161028_100,001-200,000",36,"5,188,000",9.97
"20161028_200,001-400,000",10,"2,687,000",5.16
"20161028_400,001-600,000",3,"1,702,000",3.27
"20161028_600,001-800,000",4,"2,753,000",5.29
"20161028_800,001-1,000,000",2,"1,888,000",3.62
"20161028_1,000,001以上",7,"8,619,000",16.57
20161021_1-999,47,"7,822",0.01
"20161021_1,000-5,000","2,612","6,082,607",11.80
"20161021_5,001-10,000",573,"4,818,571",9.35
"20161021_10,001-15,000",177,"2,352,000",4.56
"20161021_15,001-20,000",119,"2,284,000",4.43
"20161021_20,001-30,000",130,"3,435,000",6.66
"20161021_30,001-40,000",49,"1,850,000",3.59
"20161021_40,001-50,000",55,"2,601,000",5.04
"20161021_50,001-100,000",78,"5,796,000",11.25
"20161021_100,001-200,000",38,"5,386,000",10.45
"20161021_200,001-400,000",10,"2,657,000",5.15
"20161021_400,001-600,000",3,"1,694,000",3.28
"20161021_600,001-800,000",4,"2,828,000",5.48
"20161021_800,001-1,000,000",3,"2,703,000",5.24
"20161021_1,000,001以上",6,"7,019,000",13.62
20161014_1-999,46,"7,812",0.01
"20161014_1,000-5,000","2,539","5,857,607",11.71
"20161014_5,001-10,000",562,"4,718,571",9.43
"20161014_10,001-15,000",170,"2,274,000",4.54
"20161014_15,001-20,000",124,"2,365,010",4.72
"20161014_20,001-30,000",119,"3,126,000",6.25
"20161014_30,001-40,000",47,"1,788,000",3.57
"20161014_40,001-50,000",54,"2,559,000",5.11
"20161014_50,001-100,000",76,"5,546,000",11.08
"20161014_100,001-200,000",35,"5,041,000",10.07
"20161014_200,001-400,000",10,"2,966,000",5.93
"20161014_400,001-600,000",4,"2,081,000",4.16
"20161014_600,001-800,000",5,"3,509,000",7.01
"20161014_800,001-1,000,000",2,"1,824,000",3.64
"20161014_1,000,001以上",5,"6,351,000",12.69
20161007_1-999,43,"7,532",0.01
"20161007_1,000-5,000","2,389","5,531,458",11.64
"20161007_5,001-10,000",529,"4,478,000",9.42
"20161007_10,001-15,000",151,"2,006,000",4.22
"20161007_15,001-20,000",125,"2,402,000",5.05
"20161007_20,001-30,000",109,"2,881,010",6.06
"20161007_30,001-40,000",54,"2,037,000",4.28
"20161007_40,001-50,000",49,"2,335,000",4.91
"20161007_50,001-100,000",67,"4,843,000",10.19
"20161007_100,001-200,000",36,"5,119,000",10.77
"20161007_200,001-400,000",12,"3,587,000",7.54
"20161007_400,001-600,000",2,"888,000",1.86
"20161007_600,001-800,000",4,"2,756,000",5.80
"20161007_800,001-1,000,000",2,"1,844,000",3.88
"20161007_1,000,001以上",5,"6,799,000",14.30
