date_level,population,stock number,total portion
"20170210_20,001-30,000",416,"9,581,651",4.59
"20170210_30,001-40,000",130,"4,321,602",2.07
"20170210_40,001-50,000",91,"3,964,899",1.90
"20170210_50,001-100,000",199,"13,444,409",6.44
"20170210_100,001-200,000",91,"12,360,377",5.92
"20170210_200,001-400,000",45,"12,131,017",5.81
"20170210_400,001-600,000",25,"11,898,556",5.70
"20170210_600,001-800,000",9,"5,878,238",2.82
"20170210_800,001-1,000,000",5,"4,396,522",2.10
"20170210_1,000,001以上",26,"80,245,729",38.49
20170203_1-999,"10,238","736,294",0.35
"20170203_1,000-5,000","9,910","19,467,216",9.34
"20170203_5,001-10,000","2,180","14,076,492",6.75
"20170203_10,001-15,000","1,035","11,510,112",5.52
"20170203_15,001-20,000",323,"5,471,514",2.62
"20170203_20,001-30,000",421,"9,697,372",4.65
"20170203_30,001-40,000",136,"4,533,012",2.17
"20170203_40,001-50,000",84,"3,633,719",1.74
"20170203_50,001-100,000",202,"13,538,884",6.49
"20170203_100,001-200,000",93,"12,765,411",6.12
"20170203_200,001-400,000",46,"12,753,137",6.12
"20170203_400,001-600,000",20,"9,557,925",4.58
"20170203_600,001-800,000",11,"7,280,853",3.49
"20170203_800,001-1,000,000",5,"4,276,522",2.05
"20170203_1,000,001以上",26,"79,026,729",37.93
20170126_1-999,"10,197","734,906",0.35
"20170126_1,000-5,000","9,945","19,554,915",9.38
"20170126_5,001-10,000","2,189","14,143,391",6.78
"20170126_10,001-15,000","1,038","11,558,312",5.54
"20170126_15,001-20,000",324,"5,496,504",2.63
"20170126_20,001-30,000",423,"9,746,468",4.67
"20170126_30,001-40,000",136,"4,541,676",2.18
"20170126_40,001-50,000",86,"3,725,519",1.78
"20170126_50,001-100,000",203,"13,661,724",6.55
"20170126_100,001-200,000",93,"12,724,611",6.10
"20170126_200,001-400,000",46,"12,692,137",6.09
"20170126_400,001-600,000",20,"9,526,925",4.57
"20170126_600,001-800,000",12,"8,082,215",3.87
"20170126_800,001-1,000,000",4,"3,437,160",1.64
"20170126_1,000,001以上",26,"78,698,729",37.77
20170120_1-999,"10,064","729,804",0.35
"20170120_1,000-5,000","10,072","19,823,564",9.51
"20170120_5,001-10,000","2,210","14,270,796",6.85
"20170120_10,001-15,000","1,045","11,605,852",5.57
"20170120_15,001-20,000",330,"5,583,467",2.68
"20170120_20,001-30,000",430,"9,873,973",4.73
"20170120_30,001-40,000",139,"4,660,636",2.23
"20170120_40,001-50,000",86,"3,710,539",1.78
"20170120_50,001-100,000",207,"14,044,706",6.74
"20170120_100,001-200,000",88,"12,117,409",5.81
"20170120_200,001-400,000",50,"13,520,417",6.49
"20170120_400,001-600,000",21,"10,218,540",4.90
"20170120_600,001-800,000",10,"6,725,600",3.22
"20170120_800,001-1,000,000",5,"4,348,160",2.08
"20170120_1,000,001以上",25,"77,091,729",37.00
20170113_1-999,"9,994","726,383",0.34
"20170113_1,000-5,000","10,253","20,121,266",9.65
"20170113_5,001-10,000","2,250","14,538,372",6.97
"20170113_10,001-15,000","1,052","11,682,786",5.60
"20170113_15,001-20,000",330,"5,583,196",2.68
"20170113_20,001-30,000",434,"9,966,134",4.78
"20170113_30,001-40,000",144,"4,831,958",2.31
"20170113_40,001-50,000",86,"3,713,658",1.78
"20170113_50,001-100,000",207,"13,982,344",6.71
"20170113_100,001-200,000",92,"12,690,573",6.09
"20170113_200,001-400,000",48,"12,802,393",6.14
"20170113_400,001-600,000",21,"10,194,640",4.89
"20170113_600,001-800,000",11,"7,336,600",3.52
"20170113_800,001-1,000,000",3,"2,592,160",1.24
"20170113_1,000,001以上",26,"77,562,729",37.23
20170106_1-999,"9,809","711,424",0.34
"20170106_1,000-5,000","10,118","19,912,814",9.55
"20170106_5,001-10,000","2,289","14,773,173",7.09
"20170106_10,001-15,000","1,068","11,835,146",5.68
"20170106_15,001-20,000",335,"5,664,046",2.71
"20170106_20,001-30,000",449,"10,370,514",4.97
"20170106_30,001-40,000",143,"4,753,896",2.28
"20170106_40,001-50,000",89,"3,858,238",1.85
"20170106_50,001-100,000",221,"14,900,514",7.15
"20170106_100,001-200,000",93,"12,967,615",6.22
"20170106_200,001-400,000",42,"11,471,303",5.50
"20170106_400,001-600,000",23,"10,960,405",5.26
"20170106_600,001-800,000",11,"7,367,215",3.53
"20170106_800,001-1,000,000",5,"4,594,267",2.20
"20170106_1,000,001以上",23,"74,184,622",35.61
20161230_1-999,"9,699","707,558",0.33
"20161230_1,000-5,000","10,194","20,006,855",9.60
"20161230_5,001-10,000","2,329","15,010,678",7.20
"20161230_10,001-15,000","1,091","12,112,109",5.81
"20161230_15,001-20,000",336,"5,682,726",2.72
"20161230_20,001-30,000",450,"10,352,934",4.96
"20161230_30,001-40,000",147,"4,902,742",2.35
"20161230_40,001-50,000",89,"3,847,589",1.84
"20161230_50,001-100,000",219,"14,774,308",7.09
"20161230_100,001-200,000",96,"13,223,881",6.34
"20161230_200,001-400,000",40,"10,972,303",5.26
"20161230_400,001-600,000",23,"10,972,405",5.26
"20161230_600,001-800,000",11,"7,315,215",3.51
"20161230_800,001-1,000,000",5,"4,594,267",2.20
"20161230_1,000,001以上",23,"73,849,622",35.44
20161223_1-999,"9,680","708,900",0.34
"20161223_1,000-5,000","10,235","20,047,219",9.62
"20161223_5,001-10,000","2,325","14,985,963",7.19
