date_level,population,stock number,total portion
"20161209_600,001-800,000",148,"102,066,427",0.8
"20161209_800,001-1,000,000",104,"94,282,863",0.74
"20161209_1,000,001以上",589,"8,462,982,861",67.03
20161202_1-999,"193,740","62,896,490",0.49
"20161202_1,000-5,000","237,851","567,346,627",4.49
"20161202_5,001-10,000","66,623","500,538,974",3.96
"20161202_10,001-15,000","24,960","307,550,342",2.43
"20161202_15,001-20,000","14,905","268,523,581",2.12
"20161202_20,001-30,000","13,984","347,065,415",2.74
"20161202_30,001-40,000","6,400","224,296,429",1.77
"20161202_40,001-50,000","4,318","197,530,773",1.56
"20161202_50,001-100,000","7,239","511,712,569",4.05
"20161202_100,001-200,000","3,065","426,141,349",3.37
"20161202_200,001-400,000","1,293","356,468,421",2.82
"20161202_400,001-600,000",378,"187,772,982",1.48
"20161202_600,001-800,000",152,"105,366,427",0.83
"20161202_800,001-1,000,000",102,"92,579,418",0.73
"20161202_1,000,001以上",592,"8,468,528,918",67.08
20161125_1-999,"193,972","62,991,586",0.49
"20161125_1,000-5,000","237,831","567,309,939",4.49
"20161125_5,001-10,000","66,499","499,430,927",3.95
"20161125_10,001-15,000","24,962","307,507,112",2.43
"20161125_15,001-20,000","14,854","267,586,477",2.11
"20161125_20,001-30,000","13,947","346,115,935",2.74
"20161125_30,001-40,000","6,360","222,906,856",1.76
"20161125_40,001-50,000","4,267","195,017,981",1.54
"20161125_50,001-100,000","7,178","506,681,998",4.01
"20161125_100,001-200,000","3,051","424,468,389",3.36
"20161125_200,001-400,000","1,278","352,041,289",2.78
"20161125_400,001-600,000",371,"184,351,889",1.46
"20161125_600,001-800,000",154,"106,601,159",0.84
"20161125_800,001-1,000,000",104,"94,369,755",0.74
"20161125_1,000,001以上",588,"8,486,937,423",67.22
20161118_1-999,"194,114","63,055,396",0.49
"20161118_1,000-5,000","237,764","567,025,237",4.49
"20161118_5,001-10,000","66,490","499,246,193",3.95
"20161118_10,001-15,000","24,938","307,159,373",2.43
"20161118_15,001-20,000","14,831","267,057,728",2.11
"20161118_20,001-30,000","13,915","345,169,825",2.73
"20161118_30,001-40,000","6,351","222,538,338",1.76
"20161118_40,001-50,000","4,262","194,776,252",1.54
"20161118_50,001-100,000","7,147","504,468,886",3.99
"20161118_100,001-200,000","3,033","421,465,426",3.33
"20161118_200,001-400,000","1,270","350,113,546",2.77
"20161118_400,001-600,000",372,"184,900,440",1.46
"20161118_600,001-800,000",150,"103,596,987",0.82
"20161118_800,001-1,000,000",102,"92,385,098",0.73
"20161118_1,000,001以上",593,"8,501,359,990",67.34
20161111_1-999,"194,277","63,109,590",0.49
"20161111_1,000-5,000","237,650","566,614,295",4.48
"20161111_5,001-10,000","66,352","498,087,550",3.94
"20161111_10,001-15,000","24,903","306,620,906",2.42
"20161111_15,001-20,000","14,747","265,503,842",2.1
"20161111_20,001-30,000","13,839","343,215,731",2.71
"20161111_30,001-40,000","6,314","221,210,500",1.75
"20161111_40,001-50,000","4,217","192,731,608",1.52
"20161111_50,001-100,000","7,098","500,387,149",3.96
"20161111_100,001-200,000","3,001","416,992,339",3.3
"20161111_200,001-400,000","1,257","346,780,282",2.74
"20161111_400,001-600,000",372,"184,716,219",1.46
"20161111_600,001-800,000",146,"100,589,922",0.79
"20161111_800,001-1,000,000",107,"96,900,227",0.76
"20161111_1,000,001以上",588,"8,520,858,555",67.49
20161104_1-999,"194,401","63,153,377",0.5
"20161104_1,000-5,000","237,865","567,150,267",4.49
"20161104_5,001-10,000","66,405","498,465,874",3.94
"20161104_10,001-15,000","24,930","306,986,922",2.43
"20161104_15,001-20,000","14,770","265,923,505",2.1
"20161104_20,001-30,000","13,870","344,068,271",2.72
"20161104_30,001-40,000","6,313","221,159,439",1.75
"20161104_40,001-50,000","4,199","191,849,715",1.51
"20161104_50,001-100,000","7,110","501,312,021",3.97
"20161104_100,001-200,000","3,001","416,695,340",3.3
"20161104_200,001-400,000","1,257","346,960,255",2.74
"20161104_400,001-600,000",370,"183,753,836",1.45
"20161104_600,001-800,000",149,"102,973,001",0.81
"20161104_800,001-1,000,000",107,"96,856,883",0.76
"20161104_1,000,001以上",587,"8,517,010,009",67.46
20161028_1-999,"194,442","63,188,753",0.5
"20161028_1,000-5,000","238,257","568,178,086",4.5
"20161028_5,001-10,000","66,605","500,007,049",3.96
"20161028_10,001-15,000","25,004","307,946,174",2.43
"20161028_15,001-20,000","14,868","267,793,591",2.12
"20161028_20,001-30,000","13,940","345,762,142",2.73
"20161028_30,001-40,000","6,339","222,110,898",1.75
"20161028_40,001-50,000","4,239","193,710,438",1.53
"20161028_50,001-100,000","7,184","507,377,065",4.01
"20161028_100,001-200,000","3,025","420,212,548",3.32
"20161028_200,001-400,000","1,271","350,848,335",2.77
"20161028_400,001-600,000",375,"186,976,640",1.48
"20161028_600,001-800,000",154,"106,299,213",0.84
"20161028_800,001-1,000,000",103,"93,191,540",0.73
"20161028_1,000,001以上",591,"8,490,716,243",67.25
20161021_1-999,"194,639","63,269,582",0.5
"20161021_1,000-5,000","238,215","567,940,972",4.49
"20161021_5,001-10,000","66,527","499,305,851",3.95
"20161021_10,001-15,000","24,994","307,759,320",2.43
"20161021_15,001-20,000","14,819","266,815,122",2.11
"20161021_20,001-30,000","13,880","344,169,693",2.72
"20161021_30,001-40,000","6,311","221,103,603",1.75
"20161021_40,001-50,000","4,238","193,626,420",1.53
"20161021_50,001-100,000","7,141","504,043,036",3.99
"20161021_100,001-200,000","3,007","417,635,752",3.3
"20161021_200,001-400,000","1,267","349,664,277",2.76
